task,category,split,A0_passed,A0_R1_passed,A1_passed,B1_passed,C1_passed,C11_passed,C2_passed,C21_passed,C22_passed,C23_passed,A1_B1_passed,A1_C11_passed,A1_C23_passed,A1_B1_R1_passed,A1_C11_R1_passed,A1_C23_R1_passed,A0_total,A0_R1_total,A1_total,B1_total,C1_total,C11_total,C2_total,C21_total,C22_total,C23_total,A1_B1_total,A1_C11_total,A1_C23_total,A1_B1_R1_total,A1_C11_R1_total,A1_C23_R1_total,A0_rate,A0_R1_rate,A1_rate,B1_rate,C1_rate,C11_rate,C2_rate,C21_rate,C22_rate,C23_rate,A1_B1_rate,A1_C11_rate,A1_C23_rate,A1_B1_R1_rate,A1_C11_R1_rate,A1_C23_R1_rate
imo_1965_p2,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1968_p5_1,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1969_p2,IMO,Test,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1974_p3,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1977_p6,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1981_p6,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1982_p1,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1983_p6,IMO,Test,8,8,8,7,8,7,8,7,8,8,7,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,1.0,0.875,1.0,0.875,1.0,1.0,0.875
imo_1984_p6,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1985_p6,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1992_p1,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1997_p5,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_2001_p6,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_2019_p1,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imosl_2007_algebra_p6,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
induction_11div10tonmn1ton,Induction,Test,6,8,6,8,8,8,8,8,7,7,4,7,3,5,6,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.5,0.875,0.375,0.625,0.75,0.5
induction_12dvd4expnp1p20,Induction,Test,0,2,2,0,2,1,2,2,1,2,1,1,2,3,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.25,0.25,0.0,0.25,0.125,0.25,0.25,0.125,0.25,0.125,0.125,0.25,0.375,0.125,0.25
induction_1pxpownlt1pnx,Induction,Test,2,3,2,7,3,3,3,4,3,4,4,2,3,5,5,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.375,0.25,0.875,0.375,0.375,0.375,0.5,0.375,0.5,0.5,0.25,0.375,0.625,0.625,0.375
induction_nfactltnexpnm1ngt3,Induction,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
induction_pord1p1on2powklt5on2,Induction,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
induction_pprime_pdvdapowpma,Induction,Test,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125
induction_prod1p1onk3le3m1onn,Induction,Test,0,1,5,2,0,5,3,5,6,1,6,4,6,7,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.125,0.625,0.25,0.0,0.625,0.375,0.625,0.75,0.125,0.75,0.5,0.75,0.875,0.625,0.875
induction_sumkexp3eqsumksq,Induction,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_107,MATHD_Algebra,Test,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_113,MATHD_Algebra,Test,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_114,MATHD_Algebra,Test,0,0,2,3,1,7,3,7,8,8,1,2,2,2,5,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.25,0.375,0.125,0.875,0.375,0.875,1.0,1.0,0.125,0.25,0.25,0.25,0.625,0.25
mathd_algebra_125,MATHD_Algebra,Test,8,8,7,7,8,8,7,7,8,8,8,8,6,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,0.875,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75
mathd_algebra_129,MATHD_Algebra,Test,8,8,5,7,7,7,8,8,7,8,8,6,7,5,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.625,0.875,0.875,0.875,1.0,1.0,0.875,1.0,1.0,0.75,0.875,0.625,0.875,0.75
mathd_algebra_137,MATHD_Algebra,Test,8,8,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0
mathd_algebra_139,MATHD_Algebra,Test,7,8,8,7,8,7,5,8,8,6,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,1.0,0.875,1.0,0.875,0.625,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0
mathd_algebra_141,MATHD_Algebra,Test,8,8,8,8,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_142,MATHD_Algebra,Test,8,8,8,7,7,8,7,8,8,8,7,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,0.875,0.875,1.0,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0
mathd_algebra_143,MATHD_Algebra,Test,8,8,8,8,8,8,8,7,8,8,7,7,6,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,0.875,0.75,1.0,1.0,0.875
mathd_algebra_148,MATHD_Algebra,Test,8,8,8,8,7,8,7,7,7,8,7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,0.875,1.0,0.875,0.875,0.875,1.0,0.875,0.875,1.0,0.875,1.0,1.0
mathd_algebra_153,MATHD_Algebra,Test,8,8,7,6,8,4,7,7,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,0.75,1.0,0.5,0.875,0.875,0.875,0.75,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_156,MATHD_Algebra,Test,4,8,4,7,6,7,4,7,7,8,4,5,7,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.5,1.0,0.5,0.875,0.75,0.875,0.5,0.875,0.875,1.0,0.5,0.625,0.875,0.875,0.75,1.0
mathd_algebra_158,MATHD_Algebra,Test,0,0,1,2,0,2,5,0,1,6,4,2,4,3,3,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.125,0.25,0.0,0.25,0.625,0.0,0.125,0.75,0.5,0.25,0.5,0.375,0.375,0.625
mathd_algebra_160,MATHD_Algebra,Test,8,8,6,8,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.75,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
mathd_algebra_17,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_170,MATHD_Algebra,Test,2,0,0,2,0,0,1,1,0,1,2,1,0,4,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.0,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.125,0.25,0.125,0.0,0.5,0.25,0.125
mathd_algebra_171,MATHD_Algebra,Test,8,8,8,8,8,7,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0
mathd_algebra_176,MATHD_Algebra,Test,6,8,4,7,5,8,5,7,6,6,7,7,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.75,1.0,0.5,0.875,0.625,1.0,0.625,0.875,0.75,0.75,0.875,0.875,0.875,1.0,1.0,0.875
mathd_algebra_184,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_188,MATHD_Algebra,Test,8,8,7,8,8,8,8,7,8,8,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875
mathd_algebra_196,MATHD_Algebra,Test,5,7,2,4,5,7,5,8,2,7,4,4,3,4,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.625,0.875,0.25,0.5,0.625,0.875,0.625,1.0,0.25,0.875,0.5,0.5,0.375,0.5,0.625,0.5
mathd_algebra_208,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_209,MATHD_Algebra,Test,2,5,1,6,5,2,7,2,0,0,3,0,1,2,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.625,0.125,0.75,0.625,0.25,0.875,0.25,0.0,0.0,0.375,0.0,0.125,0.25,0.125,0.125
mathd_algebra_215,MATHD_Algebra,Test,5,5,5,6,6,2,5,4,5,6,4,5,3,5,2,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.625,0.625,0.625,0.75,0.75,0.25,0.625,0.5,0.625,0.75,0.5,0.625,0.375,0.625,0.25,0.625
mathd_algebra_24,MATHD_Algebra,Test,5,7,4,4,6,7,4,7,8,4,4,3,7,6,6,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.625,0.875,0.5,0.5,0.75,0.875,0.5,0.875,1.0,0.5,0.5,0.375,0.875,0.75,0.75,0.625
mathd_algebra_246,MATHD_Algebra,Test,7,8,5,7,8,3,8,5,7,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,0.625,0.875,1.0,0.375,1.0,0.625,0.875,1.0,1.0,1.0,1.0,1.0,0.75,1.0
mathd_algebra_263,MATHD_Algebra,Test,2,6,8,2,4,8,6,7,8,8,7,6,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.75,1.0,0.25,0.5,1.0,0.75,0.875,1.0,1.0,0.875,0.75,1.0,1.0,0.875,1.0
mathd_algebra_270,MATHD_Algebra,Test,8,8,8,8,8,8,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0
mathd_algebra_275,MATHD_Algebra,Test,0,3,3,1,1,0,0,1,0,0,2,1,1,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.375,0.375,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.25,0.125,0.125,0.375,0.375,0.375
mathd_algebra_276,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_288,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
mathd_algebra_289,MATHD_Algebra,Test,7,6,3,3,5,0,3,3,0,1,7,3,3,7,6,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,0.75,0.375,0.375,0.625,0.0,0.375,0.375,0.0,0.125,0.875,0.375,0.375,0.875,0.75,0.125
mathd_algebra_293,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_296,MATHD_Algebra,Test,8,8,7,8,7,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0
mathd_algebra_302,MATHD_Algebra,Test,8,8,8,8,7,8,8,8,8,8,7,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.875,1.0,1.0,0.875
mathd_algebra_304,MATHD_Algebra,Test,8,8,8,7,8,8,8,8,8,8,8,6,7,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,1.0,0.625,1.0
mathd_algebra_313,MATHD_Algebra,Test,1,3,3,1,3,0,0,0,0,0,0,0,0,0,5,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.125,0.375,0.375,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.25
mathd_algebra_314,MATHD_Algebra,Test,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_320,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_329,MATHD_Algebra,Test,8,8,7,7,8,7,8,8,7,7,6,6,7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,0.875,1.0,0.875,1.0,1.0,0.875,0.875,0.75,0.75,0.875,0.875,1.0,0.875
mathd_algebra_33,MATHD_Algebra,Test,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_332,MATHD_Algebra,Test,2,2,5,5,2,4,4,5,5,6,8,6,6,5,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.25,0.625,0.625,0.25,0.5,0.5,0.625,0.625,0.75,1.0,0.75,0.75,0.625,0.875,0.875
mathd_algebra_338,MATHD_Algebra,Test,6,6,3,3,1,4,1,3,8,8,3,4,6,5,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.75,0.75,0.375,0.375,0.125,0.5,0.125,0.375,1.0,1.0,0.375,0.5,0.75,0.625,1.0,0.875
mathd_algebra_342,MATHD_Algebra,Test,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_346,MATHD_Algebra,Test,8,8,7,8,8,8,8,8,8,8,7,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,0.875,1.0,1.0,1.0
mathd_algebra_354,MATHD_Algebra,Test,8,8,8,8,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
mathd_algebra_359,MATHD_Algebra,Test,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_362,MATHD_Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_388,MATHD_Algebra,Test,8,8,7,8,8,8,8,8,8,8,5,3,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.375,1.0,0.75,1.0,1.0
mathd_algebra_392,MATHD_Algebra,Test,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
mathd_algebra_398,MATHD_Algebra,Test,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_400,MATHD_Algebra,Test,7,8,5,6,8,7,7,8,7,8,4,7,8,6,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,0.625,0.75,1.0,0.875,0.875,1.0,0.875,1.0,0.5,0.875,1.0,0.75,1.0,0.875
mathd_algebra_412,MATHD_Algebra,Test,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mathd_algebra_419,MATHD_Algebra,Test,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0
mathd_algebra_427,MATHD_Algebra,Test,5,6,8,8,7,6,7,7,7,8,8,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.625,0.75,1.0,1.0,0.875,0.75,0.875,0.875,0.875,1.0,1.0,0.625,0.875,1.0,1.0,1.0
mathd_algebra_432,MATHD_Algebra,Test,7,8,8,7,6,7,6,6,8,8,7,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,1.0,0.875,0.75,0.875,0.75,0.75,1.0,1.0,0.875,0.625,0.875,1.0,1.0,1.0
mathd_algebra_44,MATHD_Algebra,Test,7,8,6,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0
mathd_algebra_440,MATHD_Algebra,Test,4,5,7,7,7,7,7,8,7,3,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.5,0.625,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.375,1.0,1.0,0.875,1.0,1.0,1.0
mathd_algebra_441,MATHD_Algebra,Test,8,8,7,7,8,7,6,8,8,8,8,6,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,0.875,1.0,0.875,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.875,1.0
