stratum,n_tasks,mode,pass1_pct,vs_BL_LS_delta,vs_BL_LS_p,vs_BL_LF_delta,vs_BL_LF_p,vs_BL_LE_delta,vs_BL_LE_p
all,488,A0,48.72,0.79,0.408,-0.05,0.9462,1.69,0.064
all,488,B1,48.18,0.26,0.9307,-0.59,0.592,1.15,0.1892
all,488,C21,50.03,2.1,0.0323,1.26,0.1001,3.0,0.0011
all,488,C23,48.9,0.97,0.287,0.13,0.6567,1.87,0.0964
all,488,BL_LS,47.93,0,,-0.85,0.5985,0.9,0.1187
all,488,BL_LF,48.77,0.85,0.5985,0,,1.74,0.0354
all,488,BL_LE,47.03,-0.9,0.1187,-1.74,0.0354,0,
hard_le25,232,A0,3.34,-2.91,0.0051,-3.93,0.0006,-2.32,0.1214
hard_le25,232,B1,7.44,1.19,0.2609,0.16,0.8085,1.78,0.0801
hard_le25,232,C21,8.62,2.37,0.0792,1.35,0.3863,2.96,0.0266
hard_le25,232,C23,8.03,1.78,0.1962,0.75,0.7113,2.37,0.0853
hard_le25,232,BL_LS,6.25,0,,-1.02,0.5464,0.59,0.358
hard_le25,232,BL_LF,7.27,1.02,0.5464,0,,1.62,0.067
hard_le25,232,BL_LE,5.66,-0.59,0.358,-1.62,0.067,0,
impossible_0,193,A0,0.0,-1.81,0.0005,-3.11,0.0003,-3.04,0.0006
impossible_0,193,B1,2.4,0.58,0.3579,-0.71,0.4622,-0.65,0.8055
impossible_0,193,C21,2.27,0.45,0.4516,-0.84,0.385,-0.78,0.7347
impossible_0,193,C23,2.98,1.17,0.2258,-0.13,0.9809,-0.06,0.9161
impossible_0,193,BL_LS,1.81,0,,-1.3,0.1679,-1.23,0.5337
impossible_0,193,BL_LF,3.11,1.3,0.1679,0,,0.06,0.3604
impossible_0,193,BL_LE,3.04,1.23,0.5337,-0.06,0.3604,0,
sweet_1_4,59,A0,28.81,-9.11,0.0426,-8.9,0.0674,-1.27,0.7824
sweet_1_4,59,B1,41.1,3.18,0.4541,3.39,0.2283,11.02,0.0076
sweet_1_4,59,C21,48.94,11.02,0.0306,11.23,0.0124,18.86,0.0001
sweet_1_4,59,C23,40.89,2.97,0.7451,3.18,0.5595,10.81,0.0462
sweet_1_4,59,BL_LS,37.92,0,,0.21,0.559,7.84,0.0675
sweet_1_4,59,BL_LF,37.71,-0.21,0.559,0,,7.63,0.1608
sweet_1_4,59,BL_LE,30.08,-7.84,0.0675,-7.63,0.1608,0,
sweet_1_3,45,A0,22.22,-9.17,0.1142,-8.61,0.1844,2.5,0.2426
sweet_1_3,45,B1,33.89,2.5,0.5689,3.06,0.3414,14.17,0.0048
sweet_1_3,45,C21,41.11,9.72,0.1259,10.28,0.064,21.39,0.0005
sweet_1_3,45,C23,31.67,0.28,0.7938,0.83,0.8156,11.94,0.0525
sweet_1_3,45,BL_LS,31.39,0,,0.56,0.5003,11.67,0.0178
sweet_1_3,45,BL_LF,30.83,-0.56,0.5003,0,,11.11,0.0468
sweet_1_3,45,BL_LE,19.72,-11.67,0.0178,-11.11,0.0468,0,
sweet_1_2,39,A0,19.87,-8.33,0.1675,-8.01,0.2532,1.28,0.3781
sweet_1_2,39,B1,32.37,4.17,0.4737,4.49,0.3526,13.78,0.0132
sweet_1_2,39,C21,40.06,11.86,0.0783,12.18,0.0547,21.47,0.0016
sweet_1_2,39,C23,33.01,4.81,0.5268,5.13,0.6621,14.42,0.0323
sweet_1_2,39,BL_LS,28.21,0,,0.32,0.5542,9.62,0.0662
sweet_1_2,39,BL_LF,27.88,-0.32,0.5542,0,,9.29,0.0948
sweet_1_2,39,BL_LE,18.59,-9.62,0.0662,-9.29,0.0948,0,
sweet_1_1,16,A0,12.5,-6.25,0.3252,0.0,0.8086,-0.78,0.8359
sweet_1_1,16,B1,21.09,2.34,0.7458,8.59,0.209,7.81,0.2261
sweet_1_1,16,C21,23.44,4.69,0.8477,10.94,0.4941,10.16,0.3486
sweet_1_1,16,C23,22.66,3.91,0.748,10.16,0.5166,9.38,0.3848
sweet_1_1,16,BL_LS,18.75,0,,6.25,0.1953,5.47,0.4473
sweet_1_1,16,BL_LF,12.5,-6.25,0.1953,0,,-0.78,0.8049
sweet_1_1,16,BL_LE,13.28,-5.47,0.4473,0.78,0.8049,0,
easy_gt50,236,A0,93.54,5.4,0.0003,4.66,0.0019,6.3,0.0001
easy_gt50,236,B1,87.39,-0.74,0.3005,-1.48,0.1834,0.16,0.7964
easy_gt50,236,C21,89.35,1.22,0.3219,0.48,0.3909,2.12,0.0998
easy_gt50,236,C23,88.45,0.32,0.5083,-0.42,0.8563,1.22,0.5027
easy_gt50,236,BL_LS,88.14,0,,-0.74,0.6876,0.9,0.3067
easy_gt50,236,BL_LF,88.88,0.74,0.6876,0,,1.64,0.1726
easy_gt50,236,BL_LE,87.24,-0.9,0.3067,-1.64,0.1726,0,
cat_IMO,40,A0,16.56,0.62,0.7656,0.31,1.0,3.12,0.0625
cat_IMO,40,B1,15.94,0.0,1.0,-0.31,0.8203,2.5,0.2656
cat_IMO,40,C21,16.25,0.31,1.0,0.0,1.0,2.81,0.0625
cat_IMO,40,C23,12.5,-3.44,0.0996,-3.75,0.0156,-0.94,0.7266
cat_IMO,40,BL_LS,15.94,0,,-0.31,1.0,2.5,0.0859
cat_IMO,40,BL_LF,16.25,0.31,1.0,0,,2.81,0.2656
cat_IMO,40,BL_LE,13.44,-2.5,0.0859,-2.81,0.2656,0,
cat_AIME,30,A0,14.58,0,,0,,0,
cat_AIME,30,B1,15.0,0.42,0.9844,-1.25,1.0,-2.5,0.5156
cat_AIME,30,C21,16.67,0,,0,,0,
cat_AIME,30,C23,17.08,0,,0,,0,
cat_AIME,30,BL_LS,14.58,0,,-1.67,1.0,0,
cat_AIME,30,BL_LF,16.25,1.67,1.0,0,,0,
cat_AIME,30,BL_LE,17.5,0,,0,,0,
cat_AMC,91,A0,30.22,4.12,0.1732,-1.1,0.3794,3.43,0.2029
cat_AMC,91,B1,28.85,2.75,0.3277,-2.47,0.2402,2.06,0.2823
cat_AMC,91,C21,33.1,7.01,0.0073,1.79,0.2601,6.32,0.0021
cat_AMC,91,C23,30.77,4.67,0.0689,-0.55,0.9737,3.98,0.1649
cat_AMC,91,BL_LS,26.1,0,,-5.22,0.0126,-0.69,0.7886
cat_AMC,91,BL_LF,31.32,5.22,0.0126,0,,4.53,0.0525
cat_AMC,91,BL_LE,26.79,0.69,0.7886,-4.53,0.0525,0,
cat_MATHD,260,A0,65.14,0.62,0.4916,1.2,0.2942,2.02,0.1219
cat_MATHD,260,B1,64.33,-0.19,0.8983,0.38,0.7181,1.2,0.3006
cat_MATHD,260,C21,65.29,0.77,0.7782,1.35,0.3361,2.16,0.1504
cat_MATHD,260,C23,65.38,0.87,0.4553,1.44,0.2548,2.26,0.1618
cat_MATHD,260,BL_LS,64.52,0,,0.58,0.5096,1.39,0.1424
cat_MATHD,260,BL_LF,63.94,-0.58,0.5096,0,,0.82,0.3443
cat_MATHD,260,BL_LE,63.12,-1.39,0.1424,-0.82,0.3443,0,
